emp_id,emp_name,department,email
EMP0001,Employee 1,HR,employee1@company.com
EMP0002,Employee 2,Sales,employee2@company.com
EMP0003,Employee 3,Finance,employee3@company.com
EMP0004,Employee 4,Admin,employee4@company.com
EMP0005,Employee 5,IT,employee5@company.com
EMP0006,Employee 6,HR,employee6@company.com
EMP0007,Employee 7,Sales,employee7@company.com
EMP0008,Employee 8,Finance,employee8@company.com
EMP0009,Employee 9,Admin,employee9@company.com
EMP0010,Employee 10,IT,employee10@company.com
EMP0011,Employee 11,HR,employee11@company.com
EMP0012,Employee 12,Sales,employee12@company.com
EMP0013,Employee 13,Finance,employee13@company.com
EMP0014,Employee 14,Admin,employee14@company.com
EMP0015,Employee 15,IT,employee15@company.com
EMP0016,Employee 16,HR,employee16@company.com
EMP0017,Employee 17,Sales,employee17@company.com
EMP0018,Employee 18,Finance,employee18@company.com
EMP0019,Employee 19,Admin,employee19@company.com
EMP0020,Employee 20,IT,employee20@company.com
EMP0021,Employee 21,HR,employee21@company.com
EMP0022,Employee 22,Sales,employee22@company.com
EMP0023,Employee 23,Finance,employee23@company.com
EMP0024,Employee 24,Admin,employee24@company.com
EMP0025,Employee 25,IT,employee25@company.com
EMP0026,Employee 26,HR,employee26@company.com
EMP0027,Employee 27,Sales,employee27@company.com
EMP0028,Employee 28,Finance,employee28@company.com
EMP0029,Employee 29,Admin,employee29@company.com
EMP0030,Employee 30,IT,employee30@company.com
EMP0031,Employee 31,HR,employee31@company.com
EMP0032,Employee 32,Sales,employee32@company.com
EMP0033,Employee 33,Finance,employee33@company.com
EMP0034,Employee 34,Admin,employee34@company.com
EMP0035,Employee 35,IT,employee35@company.com
EMP0036,Employee 36,HR,employee36@company.com
EMP0037,Employee 37,Sales,employee37@company.com
EMP0038,Employee 38,Finance,employee38@company.com
EMP0039,Employee 39,Admin,employee39@company.com
EMP0040,Employee 40,IT,employee40@company.com
EMP0041,Employee 41,HR,employee41@company.com
EMP0042,Employee 42,Sales,employee42@company.com
EMP0043,Employee 43,Finance,employee43@company.com
EMP0044,Employee 44,Admin,employee44@company.com
EMP0045,Employee 45,IT,employee45@company.com
EMP0046,Employee 46,HR,employee46@company.com
EMP0047,Employee 47,Sales,employee47@company.com
EMP0048,Employee 48,Finance,employee48@company.com
EMP0049,Employee 49,Admin,employee49@company.com
EMP0050,Employee 50,IT,employee50@company.com
EMP0051,Employee 51,HR,employee51@company.com
EMP0052,Employee 52,Sales,employee52@company.com
EMP0053,Employee 53,Finance,employee53@company.com
EMP0054,Employee 54,Admin,employee54@company.com
EMP0055,Employee 55,IT,employee55@company.com
EMP0056,Employee 56,HR,employee56@company.com
EMP0057,Employee 57,Sales,employee57@company.com
EMP0058,Employee 58,Finance,employee58@company.com
EMP0059,Employee 59,Admin,employee59@company.com
EMP0060,Employee 60,IT,employee60@company.com
EMP0061,Employee 61,HR,employee61@company.com
EMP0062,Employee 62,Sales,employee62@company.com
EMP0063,Employee 63,Finance,employee63@company.com
EMP0064,Employee 64,Admin,employee64@company.com
EMP0065,Employee 65,IT,employee65@company.com
EMP0066,Employee 66,HR,employee66@company.com
EMP0067,Employee 67,Sales,employee67@company.com
EMP0068,Employee 68,Finance,employee68@company.com
EMP0069,Employee 69,Admin,employee69@company.com
EMP0070,Employee 70,IT,employee70@company.com
EMP0071,Employee 71,HR,employee71@company.com
EMP0072,Employee 72,Sales,employee72@company.com
EMP0073,Employee 73,Finance,employee73@company.com
EMP0074,Employee 74,Admin,employee74@company.com
EMP0075,Employee 75,IT,employee75@company.com
EMP0076,Employee 76,HR,employee76@company.com
EMP0077,Employee 77,Sales,employee77@company.com
EMP0078,Employee 78,Finance,employee78@company.com
EMP0079,Employee 79,Admin,employee79@company.com
EMP0080,Employee 80,IT,employee80@company.com
EMP0081,Employee 81,HR,employee81@company.com
EMP0082,Employee 82,Sales,employee82@company.com
EMP0083,Employee 83,Finance,employee83@company.com
EMP0084,Employee 84,Admin,employee84@company.com
EMP0085,Employee 85,IT,employee85@company.com
EMP0086,Employee 86,HR,employee86@company.com
EMP0087,Employee 87,Sales,employee87@company.com
EMP0088,Employee 88,Finance,employee88@company.com
EMP0089,Employee 89,Admin,employee89@company.com
EMP0090,Employee 90,IT,employee90@company.com
EMP0091,Employee 91,HR,employee91@company.com
EMP0092,Employee 92,Sales,employee92@company.com
EMP0093,Employee 93,Finance,employee93@company.com
EMP0094,Employee 94,Admin,employee94@company.com
EMP0095,Employee 95,IT,employee95@company.com
EMP0096,Employee 96,HR,employee96@company.com
EMP0097,Employee 97,Sales,employee97@company.com
EMP0098,Employee 98,Finance,employee98@company.com
EMP0099,Employee 99,Admin,employee99@company.com
EMP0100,Employee 100,IT,employee100@company.com
EMP0101,Employee 101,HR,employee101@company.com
EMP0102,Employee 102,Sales,employee102@company.com
EMP0103,Employee 103,Finance,employee103@company.com
EMP0104,Employee 104,Admin,employee104@company.com
EMP0105,Employee 105,IT,employee105@company.com
EMP0106,Employee 106,HR,employee106@company.com
EMP0107,Employee 107,Sales,employee107@company.com
EMP0108,Employee 108,Finance,employee108@company.com
EMP0109,Employee 109,Admin,employee109@company.com
EMP0110,Employee 110,IT,employee110@company.com
EMP0111,Employee 111,HR,employee111@company.com
EMP0112,Employee 112,Sales,employee112@company.com
EMP0113,Employee 113,Finance,employee113@company.com
EMP0114,Employee 114,Admin,employee114@company.com
EMP0115,Employee 115,IT,employee115@company.com
EMP0116,Employee 116,HR,employee116@company.com
EMP0117,Employee 117,Sales,employee117@company.com
EMP0118,Employee 118,Finance,employee118@company.com
EMP0119,Employee 119,Admin,employee119@company.com
EMP0120,Employee 120,IT,employee120@company.com
EMP0121,Employee 121,HR,employee121@company.com
EMP0122,Employee 122,Sales,employee122@company.com
EMP0123,Employee 123,Finance,employee123@company.com
EMP0124,Employee 124,Admin,employee124@company.com
EMP0125,Employee 125,IT,employee125@company.com
EMP0126,Employee 126,HR,employee126@company.com
EMP0127,Employee 127,Sales,employee127@company.com
EMP0128,Employee 128,Finance,employee128@company.com
EMP0129,Employee 129,Admin,employee129@company.com
EMP0130,Employee 130,IT,employee130@company.com
EMP0131,Employee 131,HR,employee131@company.com
EMP0132,Employee 132,Sales,employee132@company.com
EMP0133,Employee 133,Finance,employee133@company.com
EMP0134,Employee 134,Admin,employee134@company.com
EMP0135,Employee 135,IT,employee135@company.com
EMP0136,Employee 136,HR,employee136@company.com
EMP0137,Employee 137,Sales,employee137@company.com
EMP0138,Employee 138,Finance,employee138@company.com
EMP0139,Employee 139,Admin,employee139@company.com
EMP0140,Employee 140,IT,employee140@company.com
EMP0141,Employee 141,HR,employee141@company.com
EMP0142,Employee 142,Sales,employee142@company.com
EMP0143,Employee 143,Finance,employee143@company.com
EMP0144,Employee 144,Admin,employee144@company.com
EMP0145,Employee 145,IT,employee145@company.com
EMP0146,Employee 146,HR,employee146@company.com
EMP0147,Employee 147,Sales,employee147@company.com
EMP0148,Employee 148,Finance,employee148@company.com
EMP0149,Employee 149,Admin,employee149@company.com
EMP0150,Employee 150,IT,employee150@company.com
EMP0151,Employee 151,HR,employee151@company.com
EMP0152,Employee 152,Sales,employee152@company.com
EMP0153,Employee 153,Finance,employee153@company.com
EMP0154,Employee 154,Admin,employee154@company.com
EMP0155,Employee 155,IT,employee155@company.com
EMP0156,Employee 156,HR,employee156@company.com
EMP0157,Employee 157,Sales,employee157@company.com
EMP0158,Employee 158,Finance,employee158@company.com
EMP0159,Employee 159,Admin,employee159@company.com
EMP0160,Employee 160,IT,employee160@company.com
EMP0161,Employee 161,HR,employee161@company.com
EMP0162,Employee 162,Sales,employee162@company.com
EMP0163,Employee 163,Finance,employee163@company.com
EMP0164,Employee 164,Admin,employee164@company.com
EMP0165,Employee 165,IT,employee165@company.com
EMP0166,Employee 166,HR,employee166@company.com
EMP0167,Employee 167,Sales,employee167@company.com
EMP0168,Employee 168,Finance,employee168@company.com
EMP0169,Employee 169,Admin,employee169@company.com
EMP0170,Employee 170,IT,employee170@company.com
EMP0171,Employee 171,HR,employee171@company.com
EMP0172,Employee 172,Sales,employee172@company.com
EMP0173,Employee 173,Finance,employee173@company.com
EMP0174,Employee 174,Admin,employee174@company.com
EMP0175,Employee 175,IT,employee175@company.com
EMP0176,Employee 176,HR,employee176@company.com
EMP0177,Employee 177,Sales,employee177@company.com
EMP0178,Employee 178,Finance,employee178@company.com
EMP0179,Employee 179,Admin,employee179@company.com
EMP0180,Employee 180,IT,employee180@company.com
EMP0181,Employee 181,HR,employee181@company.com
EMP0182,Employee 182,Sales,employee182@company.com
EMP0183,Employee 183,Finance,employee183@company.com
EMP0184,Employee 184,Admin,employee184@company.com
EMP0185,Employee 185,IT,employee185@company.com
EMP0186,Employee 186,HR,employee186@company.com
EMP0187,Employee 187,Sales,employee187@company.com
EMP0188,Employee 188,Finance,employee188@company.com
EMP0189,Employee 189,Admin,employee189@company.com
EMP0190,Employee 190,IT,employee190@company.com
EMP0191,Employee 191,HR,employee191@company.com
EMP0192,Employee 192,Sales,employee192@company.com
EMP0193,Employee 193,Finance,employee193@company.com
EMP0194,Employee 194,Admin,employee194@company.com
EMP0195,Employee 195,IT,employee195@company.com
EMP0196,Employee 196,HR,employee196@company.com
EMP0197,Employee 197,Sales,employee197@company.com
EMP0198,Employee 198,Finance,employee198@company.com
EMP0199,Employee 199,Admin,employee199@company.com
EMP0200,Employee 200,IT,employee200@company.com
EMP0201,Employee 201,HR,employee201@company.com
EMP0202,Employee 202,Sales,employee202@company.com
EMP0203,Employee 203,Finance,employee203@company.com
EMP0204,Employee 204,Admin,employee204@company.com
EMP0205,Employee 205,IT,employee205@company.com
EMP0206,Employee 206,HR,employee206@company.com
EMP0207,Employee 207,Sales,employee207@company.com
EMP0208,Employee 208,Finance,employee208@company.com
EMP0209,Employee 209,Admin,employee209@company.com
EMP0210,Employee 210,IT,employee210@company.com
EMP0211,Employee 211,HR,employee211@company.com
EMP0212,Employee 212,Sales,employee212@company.com
EMP0213,Employee 213,Finance,employee213@company.com
EMP0214,Employee 214,Admin,employee214@company.com
EMP0215,Employee 215,IT,employee215@company.com
EMP0216,Employee 216,HR,employee216@company.com
EMP0217,Employee 217,Sales,employee217@company.com
EMP0218,Employee 218,Finance,employee218@company.com
EMP0219,Employee 219,Admin,employee219@company.com
EMP0220,Employee 220,IT,employee220@company.com
EMP0221,Employee 221,HR,employee221@company.com
EMP0222,Employee 222,Sales,employee222@company.com
EMP0223,Employee 223,Finance,employee223@company.com
EMP0224,Employee 224,Admin,employee224@company.com
EMP0225,Employee 225,IT,employee225@company.com
EMP0226,Employee 226,HR,employee226@company.com
EMP0227,Employee 227,Sales,employee227@company.com
EMP0228,Employee 228,Finance,employee228@company.com
EMP0229,Employee 229,Admin,employee229@company.com
EMP0230,Employee 230,IT,employee230@company.com
EMP0231,Employee 231,HR,employee231@company.com
EMP0232,Employee 232,Sales,employee232@company.com
EMP0233,Employee 233,Finance,employee233@company.com
EMP0234,Employee 234,Admin,employee234@company.com
EMP0235,Employee 235,IT,employee235@company.com
EMP0236,Employee 236,HR,employee236@company.com
EMP0237,Employee 237,Sales,employee237@company.com
EMP0238,Employee 238,Finance,employee238@company.com
EMP0239,Employee 239,Admin,employee239@company.com
EMP0240,Employee 240,IT,employee240@company.com
EMP0241,Employee 241,HR,employee241@company.com
EMP0242,Employee 242,Sales,employee242@company.com
EMP0243,Employee 243,Finance,employee243@company.com
EMP0244,Employee 244,Admin,employee244@company.com
EMP0245,Employee 245,IT,employee245@company.com
EMP0246,Employee 246,HR,employee246@company.com
EMP0247,Employee 247,Sales,employee247@company.com
EMP0248,Employee 248,Finance,employee248@company.com
EMP0249,Employee 249,Admin,employee249@company.com
EMP0250,Employee 250,IT,employee250@company.com
EMP0251,Employee 251,HR,employee251@company.com
EMP0252,Employee 252,Sales,employee252@company.com
EMP0253,Employee 253,Finance,employee253@company.com
EMP0254,Employee 254,Admin,employee254@company.com
EMP0255,Employee 255,IT,employee255@company.com
EMP0256,Employee 256,HR,employee256@company.com
EMP0257,Employee 257,Sales,employee257@company.com
EMP0258,Employee 258,Finance,employee258@company.com
EMP0259,Employee 259,Admin,employee259@company.com
EMP0260,Employee 260,IT,employee260@company.com
EMP0261,Employee 261,HR,employee261@company.com
EMP0262,Employee 262,Sales,employee262@company.com
EMP0263,Employee 263,Finance,employee263@company.com
EMP0264,Employee 264,Admin,employee264@company.com
EMP0265,Employee 265,IT,employee265@company.com
EMP0266,Employee 266,HR,employee266@company.com
EMP0267,Employee 267,Sales,employee267@company.com
EMP0268,Employee 268,Finance,employee268@company.com
EMP0269,Employee 269,Admin,employee269@company.com
EMP0270,Employee 270,IT,employee270@company.com
EMP0271,Employee 271,HR,employee271@company.com
EMP0272,Employee 272,Sales,employee272@company.com
EMP0273,Employee 273,Finance,employee273@company.com
EMP0274,Employee 274,Admin,employee274@company.com
EMP0275,Employee 275,IT,employee275@company.com
EMP0276,Employee 276,HR,employee276@company.com
EMP0277,Employee 277,Sales,employee277@company.com
EMP0278,Employee 278,Finance,employee278@company.com
EMP0279,Employee 279,Admin,employee279@company.com
EMP0280,Employee 280,IT,employee280@company.com
EMP0281,Employee 281,HR,employee281@company.com
EMP0282,Employee 282,Sales,employee282@company.com
EMP0283,Employee 283,Finance,employee283@company.com
EMP0284,Employee 284,Admin,employee284@company.com
EMP0285,Employee 285,IT,employee285@company.com
EMP0286,Employee 286,HR,employee286@company.com
EMP0287,Employee 287,Sales,employee287@company.com
EMP0288,Employee 288,Finance,employee288@company.com
EMP0289,Employee 289,Admin,employee289@company.com
EMP0290,Employee 290,IT,employee290@company.com
EMP0291,Employee 291,HR,employee291@company.com
EMP0292,Employee 292,Sales,employee292@company.com
EMP0293,Employee 293,Finance,employee293@company.com
EMP0294,Employee 294,Admin,employee294@company.com
EMP0295,Employee 295,IT,employee295@company.com
EMP0296,Employee 296,HR,employee296@company.com
EMP0297,Employee 297,Sales,employee297@company.com
EMP0298,Employee 298,Finance,employee298@company.com
EMP0299,Employee 299,Admin,employee299@company.com
EMP0300,Employee 300,IT,employee300@company.com
EMP0301,Employee 301,HR,employee301@company.com
EMP0302,Employee 302,Sales,employee302@company.com
EMP0303,Employee 303,Finance,employee303@company.com
EMP0304,Employee 304,Admin,employee304@company.com
EMP0305,Employee 305,IT,employee305@company.com
EMP0306,Employee 306,HR,employee306@company.com
EMP0307,Employee 307,Sales,employee307@company.com
EMP0308,Employee 308,Finance,employee308@company.com
EMP0309,Employee 309,Admin,employee309@company.com
EMP0310,Employee 310,IT,employee310@company.com
EMP0311,Employee 311,HR,employee311@company.com
EMP0312,Employee 312,Sales,employee312@company.com
EMP0313,Employee 313,Finance,employee313@company.com
EMP0314,Employee 314,Admin,employee314@company.com
EMP0315,Employee 315,IT,employee315@company.com
EMP0316,Employee 316,HR,employee316@company.com
EMP0317,Employee 317,Sales,employee317@company.com
EMP0318,Employee 318,Finance,employee318@company.com
EMP0319,Employee 319,Admin,employee319@company.com
EMP0320,Employee 320,IT,employee320@company.com
EMP0321,Employee 321,HR,employee321@company.com
EMP0322,Employee 322,Sales,employee322@company.com
EMP0323,Employee 323,Finance,employee323@company.com
EMP0324,Employee 324,Admin,employee324@company.com
EMP0325,Employee 325,IT,employee325@company.com
EMP0326,Employee 326,HR,employee326@company.com
EMP0327,Employee 327,Sales,employee327@company.com
EMP0328,Employee 328,Finance,employee328@company.com
EMP0329,Employee 329,Admin,employee329@company.com
EMP0330,Employee 330,IT,employee330@company.com
EMP0331,Employee 331,HR,employee331@company.com
EMP0332,Employee 332,Sales,employee332@company.com
EMP0333,Employee 333,Finance,employee333@company.com
EMP0334,Employee 334,Admin,employee334@company.com
EMP0335,Employee 335,IT,employee335@company.com
EMP0336,Employee 336,HR,employee336@company.com
EMP0337,Employee 337,Sales,employee337@company.com
EMP0338,Employee 338,Finance,employee338@company.com
EMP0339,Employee 339,Admin,employee339@company.com
EMP0340,Employee 340,IT,employee340@company.com
EMP0341,Employee 341,HR,employee341@company.com
EMP0342,Employee 342,Sales,employee342@company.com
EMP0343,Employee 343,Finance,employee343@company.com
EMP0344,Employee 344,Admin,employee344@company.com
EMP0345,Employee 345,IT,employee345@company.com
EMP0346,Employee 346,HR,employee346@company.com
EMP0347,Employee 347,Sales,employee347@company.com
EMP0348,Employee 348,Finance,employee348@company.com
EMP0349,Employee 349,Admin,employee349@company.com
EMP0350,Employee 350,IT,employee350@company.com
EMP0351,Employee 351,HR,employee351@company.com
EMP0352,Employee 352,Sales,employee352@company.com
EMP0353,Employee 353,Finance,employee353@company.com
EMP0354,Employee 354,Admin,employee354@company.com
EMP0355,Employee 355,IT,employee355@company.com
